Day,Sensor_ID,Hourly_Counts,sensor_description,latitude,longitude,location
Wednesday,28,377.0,The Arts Centre,-37.82129924,144.96879309,"(-37.82129924, 144.96879309)"
Friday,29,125.0,St Kilda Rd-Alexandra Gardens,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)"
Monday,29,135.0,St Kilda Rd-Alexandra Gardens,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)"
Saturday,29,174.0,St Kilda Rd-Alexandra Gardens,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)"
Sunday,29,197.0,St Kilda Rd-Alexandra Gardens,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)"
Thursday,29,103.0,St Kilda Rd-Alexandra Gardens,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)"
Tuesday,29,102.0,St Kilda Rd-Alexandra Gardens,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)"
Wednesday,29,110.0,St Kilda Rd-Alexandra Gardens,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)"
Friday,30,225.0,Lonsdale St (South),-37.81121849,144.96656807,"(-37.81121849, 144.96656807)"
Monday,30,173.0,Lonsdale St (South),-37.81121849,144.96656807,"(-37.81121849, 144.96656807)"
Saturday,30,242.0,Lonsdale St (South),-37.81121849,144.96656807,"(-37.81121849, 144.96656807)"
Sunday,30,203.0,Lonsdale St (South),-37.81121849,144.96656807,"(-37.81121849, 144.96656807)"
Thursday,30,180.0,Lonsdale St (South),-37.81121849,144.96656807,"(-37.81121849, 144.96656807)"
Tuesday,30,164.0,Lonsdale St (South),-37.81121849,144.96656807,"(-37.81121849, 144.96656807)"
Wednesday,30,184.0,Lonsdale St (South),-37.81121849,144.96656807,"(-37.81121849, 144.96656807)"
Friday,31,153.0,Lygon St (West),-37.8016968,144.96658911,"(-37.8016968, 144.96658911)"
Monday,31,118.0,Lygon St (West),-37.8016968,144.96658911,"(-37.8016968, 144.96658911)"
Saturday,31,186.0,Lygon St (West),-37.8016968,144.96658911,"(-37.8016968, 144.96658911)"
Sunday,31,165.0,Lygon St (West),-37.8016968,144.96658911,"(-37.8016968, 144.96658911)"
Thursday,31,128.0,Lygon St (West),-37.8016968,144.96658911,"(-37.8016968, 144.96658911)"
Tuesday,31,120.0,Lygon St (West),-37.8016968,144.96658911,"(-37.8016968, 144.96658911)"
Wednesday,31,127.0,Lygon St (West),-37.8016968,144.96658911,"(-37.8016968, 144.96658911)"
Friday,34,59.0,Flinders St-Spark La,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
Monday,34,55.0,Flinders St-Spark La,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
Saturday,34,48.0,Flinders St-Spark La,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
Sunday,34,44.0,Flinders St-Spark La,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
Thursday,34,60.0,Flinders St-Spark La,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
Tuesday,34,59.0,Flinders St-Spark La,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
Wednesday,34,62.0,Flinders St-Spark La,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
Friday,35,620.0,Southbank,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)"
Monday,35,521.0,Southbank,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)"
Saturday,35,648.0,Southbank,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)"
Sunday,35,587.0,Southbank,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)"
Thursday,35,545.0,Southbank,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)"
Tuesday,35,533.0,Southbank,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)"
Wednesday,35,564.0,Southbank,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)"
Friday,36,144.0,Queen St (West),-37.81652527,144.96121063,"(-37.81652527, 144.96121063)"
Monday,36,112.0,Queen St (West),-37.81652527,144.96121063,"(-37.81652527, 144.96121063)"
