"Counting","INCP Total Personal Income (weekly)","MB by Commonwealth Electoral Divisions (UR)","Count"
"Persons Place of Usual Residence","$400-$499 ($20,800-$25,999)","Scullin",9942
"Persons Place of Usual Residence","$400-$499 ($20,800-$25,999)","Gorton",8192
"Persons Place of Usual Residence","$400-$499 ($20,800-$25,999)","Calwell",8530
"Persons Place of Usual Residence","$400-$499 ($20,800-$25,999)","Aston",10082
"Persons Place of Usual Residence","$400-$499 ($20,800-$25,999)","La Trobe",6921
"Persons Place of Usual Residence","$400-$499 ($20,800-$25,999)","Bruce",11433
"Persons Place of Usual Residence","$400-$499 ($20,800-$25,999)","Holt",7755
"Persons Place of Usual Residence","$400-$499 ($20,800-$25,999)","Fraser",11843
"Persons Place of Usual Residence","$400-$499 ($20,800-$25,999)","Lalor",8045
"Persons Place of Usual Residence","$400-$499 ($20,800-$25,999)","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","$400-$499 ($20,800-$25,999)","No usual address (Vic.)",659
"Persons Place of Usual Residence","$400-$499 ($20,800-$25,999)","Total",391306
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Casey",9984
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Dunkley",10023
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Gellibrand",7556
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Nicholls",11036
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Indi",10858
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Corio",9941
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Corangamite",8392
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","McEwen",7186
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Monash",9799
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Bendigo",10160
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Wannon",11227
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Mallee",12361
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Hawke",8258
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Ballarat",9720
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Gippsland",10608
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Flinders",10609
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Wills",9046
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Melbourne",9264
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Cooper",8715
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Maribyrnong",8065
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Macnamara",6985
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Higgins",6873
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Kooyong",7706
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Menzies",9630
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Chisholm",10258
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Deakin",10139
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Goldstein",7144
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Hotham",11382
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Isaacs",8800
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Jagajaga",9015
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Scullin",9286
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Gorton",8321
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Calwell",7928
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Aston",9675
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","La Trobe",7368
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Bruce",10204
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Holt",8594
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Fraser",9944
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Lalor",8353
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","No usual address (Vic.)",422
"Persons Place of Usual Residence","$500-$649 ($26,000-$33,799)","Total",360833
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Casey",10114
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Dunkley",10101
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Gellibrand",8226
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Nicholls",10742
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Indi",10555
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Corio",9614
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Corangamite",7570
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","McEwen",7522
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Monash",8729
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Bendigo",10051
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Wannon",10475
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Mallee",11992
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Hawke",8681
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Ballarat",9321
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Gippsland",9538
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Flinders",9666
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Wills",8808
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Melbourne",8825
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Cooper",8959
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Maribyrnong",8005
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Macnamara",7586
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Higgins",7208
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Kooyong",7584
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Menzies",9085
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Chisholm",9624
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Deakin",9884
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Goldstein",6974
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Hotham",12431
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Isaacs",9013
