"Counting","AGEP Age","MB by Commonwealth Electoral Divisions (UR)","Count"
"Persons Place of Usual Residence","5","No usual address (Vic.)",42
"Persons Place of Usual Residence","5","Total",73468
"Persons Place of Usual Residence","6","Casey",1992
"Persons Place of Usual Residence","6","Dunkley",1994
"Persons Place of Usual Residence","6","Gellibrand",2633
"Persons Place of Usual Residence","6","Nicholls",1932
"Persons Place of Usual Residence","6","Indi",1763
"Persons Place of Usual Residence","6","Corio",1721
"Persons Place of Usual Residence","6","Corangamite",1674
"Persons Place of Usual Residence","6","McEwen",2049
"Persons Place of Usual Residence","6","Monash",1573
"Persons Place of Usual Residence","6","Bendigo",1687
"Persons Place of Usual Residence","6","Wannon",1760
"Persons Place of Usual Residence","6","Mallee",2004
"Persons Place of Usual Residence","6","Hawke",2122
"Persons Place of Usual Residence","6","Ballarat",1794
"Persons Place of Usual Residence","6","Gippsland",1700
"Persons Place of Usual Residence","6","Flinders",1586
"Persons Place of Usual Residence","6","Wills",1666
"Persons Place of Usual Residence","6","Melbourne",1000
"Persons Place of Usual Residence","6","Cooper",1789
"Persons Place of Usual Residence","6","Maribyrnong",1653
"Persons Place of Usual Residence","6","Macnamara",1292
"Persons Place of Usual Residence","6","Higgins",1513
"Persons Place of Usual Residence","6","Kooyong",1928
"Persons Place of Usual Residence","6","Menzies",1812
"Persons Place of Usual Residence","6","Chisholm",1873
"Persons Place of Usual Residence","6","Deakin",2012
"Persons Place of Usual Residence","6","Goldstein",1893
"Persons Place of Usual Residence","6","Hotham",2146
"Persons Place of Usual Residence","6","Isaacs",1930
"Persons Place of Usual Residence","6","Jagajaga",2058
"Persons Place of Usual Residence","6","Scullin",2115
"Persons Place of Usual Residence","6","Gorton",2307
"Persons Place of Usual Residence","6","Calwell",2320
"Persons Place of Usual Residence","6","Aston",1884
"Persons Place of Usual Residence","6","La Trobe",1946
"Persons Place of Usual Residence","6","Bruce",2357
"Persons Place of Usual Residence","6","Holt",2631
"Persons Place of Usual Residence","6","Fraser",1963
"Persons Place of Usual Residence","6","Lalor",2672
"Persons Place of Usual Residence","6","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","6","No usual address (Vic.)",43
"Persons Place of Usual Residence","6","Total",74780
"Persons Place of Usual Residence","7","Casey",1951
"Persons Place of Usual Residence","7","Dunkley",1932
"Persons Place of Usual Residence","7","Gellibrand",2442
"Persons Place of Usual Residence","7","Nicholls",1954
"Persons Place of Usual Residence","7","Indi",1823
"Persons Place of Usual Residence","7","Corio",1834
"Persons Place of Usual Residence","7","Corangamite",1546
"Persons Place of Usual Residence","7","McEwen",2028
"Persons Place of Usual Residence","7","Monash",1546
"Persons Place of Usual Residence","7","Bendigo",1815
"Persons Place of Usual Residence","7","Wannon",1729
"Persons Place of Usual Residence","7","Mallee",1983
"Persons Place of Usual Residence","7","Hawke",2064
"Persons Place of Usual Residence","7","Ballarat",1849
"Persons Place of Usual Residence","7","Gippsland",1748
"Persons Place of Usual Residence","7","Flinders",1623
"Persons Place of Usual Residence","7","Wills",1561
"Persons Place of Usual Residence","7","Melbourne",969
"Persons Place of Usual Residence","7","Cooper",1548
"Persons Place of Usual Residence","7","Maribyrnong",1663
"Persons Place of Usual Residence","7","Macnamara",1268
"Persons Place of Usual Residence","7","Higgins",1497
"Persons Place of Usual Residence","7","Kooyong",1830
"Persons Place of Usual Residence","7","Menzies",1855
"Persons Place of Usual Residence","7","Chisholm",1828
"Persons Place of Usual Residence","7","Deakin",2030
"Persons Place of Usual Residence","7","Goldstein",1995
"Persons Place of Usual Residence","7","Hotham",2103
"Persons Place of Usual Residence","7","Isaacs",1986
"Persons Place of Usual Residence","7","Jagajaga",1908
"Persons Place of Usual Residence","7","Scullin",2087
"Persons Place of Usual Residence","7","Gorton",2369
"Persons Place of Usual Residence","7","Calwell",2316
"Persons Place of Usual Residence","7","Aston",1824
"Persons Place of Usual Residence","7","La Trobe",1940
"Persons Place of Usual Residence","7","Bruce",2203
"Persons Place of Usual Residence","7","Holt",2456
"Persons Place of Usual Residence","7","Fraser",1865
"Persons Place of Usual Residence","7","Lalor",2371
"Persons Place of Usual Residence","7","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","7","No usual address (Vic.)",29
"Persons Place of Usual Residence","7","Total",73391
"Persons Place of Usual Residence","8","Casey",1979
"Persons Place of Usual Residence","8","Dunkley",1964
"Persons Place of Usual Residence","8","Gellibrand",2336
"Persons Place of Usual Residence","8","Nicholls",1896
"Persons Place of Usual Residence","8","Indi",1766
"Persons Place of Usual Residence","8","Corio",1778
"Persons Place of Usual Residence","8","Corangamite",1611
"Persons Place of Usual Residence","8","McEwen",1990
"Persons Place of Usual Residence","8","Monash",1606
"Persons Place of Usual Residence","8","Bendigo",1744
"Persons Place of Usual Residence","8","Wannon",1846
"Persons Place of Usual Residence","8","Mallee",1944
"Persons Place of Usual Residence","8","Hawke",2053
"Persons Place of Usual Residence","8","Ballarat",1772
"Persons Place of Usual Residence","8","Gippsland",1801
"Persons Place of Usual Residence","8","Flinders",1657
"Persons Place of Usual Residence","8","Wills",1572
"Persons Place of Usual Residence","8","Melbourne",889
"Persons Place of Usual Residence","8","Cooper",1617
"Persons Place of Usual Residence","8","Maribyrnong",1644
"Persons Place of Usual Residence","8","Macnamara",1184
"Persons Place of Usual Residence","8","Higgins",1543
"Persons Place of Usual Residence","8","Kooyong",2014
"Persons Place of Usual Residence","8","Menzies",1897
"Persons Place of Usual Residence","8","Chisholm",1938
"Persons Place of Usual Residence","8","Deakin",1967
"Persons Place of Usual Residence","8","Goldstein",2009
"Persons Place of Usual Residence","8","Hotham",2157
"Persons Place of Usual Residence","8","Isaacs",1925
"Persons Place of Usual Residence","8","Jagajaga",1950
"Persons Place of Usual Residence","8","Scullin",2019
"Persons Place of Usual Residence","8","Gorton",2387
"Persons Place of Usual Residence","8","Calwell",2299
"Persons Place of Usual Residence","8","Aston",1807
"Persons Place of Usual Residence","8","La Trobe",1888
"Persons Place of Usual Residence","8","Bruce",2377
"Persons Place of Usual Residence","8","Holt",2413
"Persons Place of Usual Residence","8","Fraser",1793
"Persons Place of Usual Residence","8","Lalor",2297
